,jeux,note,avis
0,test,18,"Trackmania reste le jeux fun par excellence , gameplay a couper le souffle . De tés beau graphismes , un map gigantesque ou on se retrouve souvent dans le désert . La prise en main est progressive mais bonne, les terrains sont originaux, on peut changer sa voiture de couleur... Il manque peut ètre un mode histoire mais a par sa , ce jeu est trés bien ."
1,test,15,"Enfin ça me rapelle pourquoi j'aime tant les jeux vidéo ! Certes le jeu n'est pas parfait, mais c'est surtout très fun et les gros concepteurs de jeux-vidéo devraient se servir de Trackmania comme modèle !"
2,test,20,"Dans ma modeste vie de gamer, Trackmania est tout simplement le jeu-vidéo qui m'a le plus marqué, encore plus que mes premiers jeux MS-DOS du début/milieu des années 90."
3,test,14,"Assez bon jeu, un peu répétitif et lassant car je préfère le genre de nfs qui est un genre qui déboite tout et qui permet de faire une vrai course et pas un vulgaire contre la montre cependant ce jeu est développé par des français et juste pour ça je mettrai une bonne note"
4,test,15,"Assez bon jeu, un peu répétitif et lassant car je préfère le genre de burnout qui est un genre qui déboite tout et qui permet de faire une vrai course et pas un vulgaire contre la montre cependant ce jeu est développé par des français et juste pour ça je mettrai une bonne note."
5,test,15,"Assez bon jeu, un peu répétitif et lassant car je préfère le genre de burnout qui est un genre qui déboite tout et qui permet de faire une vrai course et pas un vulgaire contre la montre cependant ce jeu est développé par des français et juste pour ça je mettrai une bonne note."
6,test,16,"Très bon jeu que j'avais eu ""gratuitement"" avec un magazine de jeu vidéo. La physique du véhicule est parfaite, le jeu n'est pas lourd et convient même au config les plus modeste et pourtant il est beau graphiquement. Le mode online est prépondérant et très bien fichu (classement, vote, etc) il est possible de faire ses propre circuit et ses propre serveur. Un très bon jeu gratuit!"
7,test,18,"Très bon jeu, je trouve, quand je l'ai trouvé dans une vieille boutique qui vendait des jeux rétros je savais qu'il allait être très bon, puisqu'il a laissé un très bon héritage à ses successeurs. Bon graphisme en effet, tout aussi pour la bande musique qui malheureusement manque de variations dans les thèmes. Très bonne durée de vie, la difficulté se gardue au fur et à mesure qu'on avance dans le jeu je trouve."
8,test,15,"Assez bon jeu, un peu répétitif et lassant car je préfère le genre de burnout qui est un genre qui déboite tout et qui permet de faire une vrai course et pas un vulgaire contre la montre cependant ce jeu est développé par des français et juste pour ça je mettrai une bonne note."
9,test,11,"Je n'ai pas trop aimé TrackMania perso... Je trouve le jeu trop simple, et pas assez exploité. On conduit une voiture et puis voila quoi, y'a rien de spécial. Faut aller le plus vite possible, les virages sont dur a prendre... C'est tout."
10,test,16,"Tres bon petit jeu surtout pour l'epoque où il sortait vraiment de l'ordinaire ! Et les suites comme trackmania Canyon sont de mieux en mieux ! Vraiment un jeu qui me rappel bien de souvenirs  ! Je constate qu'il n'y a pas beaucoup de joueur sur ce jeu , ce qui est vraiment dommage ! "
11,test,20,"Trackmania reste le jeux fun par excellence,gameplay a couper le souffle. Mod en ligne ultra complet et j'en passe. Un de mes premiers de course en ligne, dont je suis tombé fan des les premières illustration dans pc-impact il y a plus de 8 ans."
12,test,17,"Cet opus de la série Trackmania comprend trois environnements, à savoir Desert, Rallye et Snow, qui offrent tous une jouabilité différente. On trouve rarement ça dans un jeu de course, et c'est vraiment plaisant. Bien sûr les cascades sont dignes de la série, encore quelque chose qui fait de Trackmania un jeu d'exception à ne manquer sous aucun prétexte."
13,test,17,"Ce jeu est génial, les graphismes sont époustouflants, la qualité du son est renversante, le mode ""Crée circuit"" est extrèmement bien concu, on peut créer des circuits gigantesques contairement à la DS ou on devait se contenter d'un petit circuit.La présence de plusieurs environnements ajoute de la diversité au jeu, et le nombre de circuits rend la durée de jeu assez longue"
